前面的資料是直接從TEJ資料庫抓的，然後成長率是用Excel 算的

公司,外資合計(比率)2020,外資合計(比率)2019,市值(百萬元)2019,市值(百萬元)2020,市值(百萬元)2021,2020成長率,2021成長率
2049 上銀,38,32.39,82038,"96,613",104453,17.76615715,8.114849968
2059 川湖,23.26,29.03,35832,"27,541",49269,-23.13853539,78.89328637
2062 橋椿,10.54,10.38,4670,"3,969",5480,-15.01070664,38.07004283
2069 運錩,0.4,0.36,3143,"2,338",5782,-25.61247216,147.3053892
2101 南港,8.65,8.25,44199,"36,735",33441,-16.88725989,-8.966925276
2102 泰豐,8.55,8.53,6011,"9,798",13656,63.00116453,39.37538273
2103 台橡,32.34,34.97,19817,"17,546",33359,-11.4598577,90.12310498
2104 國際中橡,12.59,15.66,31462,"22,009",27769,-30.0457695,26.17111182
2105 正新,12.78,11.7,152184,"129,657",117015,-14.80247595,-9.750341285
2106 建大,4.76,6.94,27807,"30,283",28283,8.904232747,-6.604365486
2107 厚生,8.97,11.82,6668,"7,446",7873,11.66766647,5.734622616
2108 南帝,8.95,11.13,15019,"30,727",41954,104.5875225,36.53789827
2109 華豐,14.69,14.85,3988,"4,154",4693,4.162487462,12.97544535
2114 鑫永銓,1.52,2.06,5885,"5,885",9515,0,61.68224299
2201 裕隆,6.54,7.77,30200,"35,900",41900,18.87417219,16.71309192
2204 中華,28.85,31.31,22615,"25,799",35100,14.07915101,36.05178495
2206 三陽工業,9.59,10.38,18822,"19,113",21576,1.546063118,12.88651703
2207 和泰車,24.1,21.78,309137,"367,579",335354,18.90488683,-8.766822914
2208 台船,3.49,4.06,12605,"11,636",20453,-7.687425625,75.77346167
2227 裕日車,40.8,40.72,78450,"76,350",74700,-2.676864245,-2.161100196
2228 劍麟,7.49,7.18,9169,"6,532",5358,-28.75995201,-17.97305573
2231 為升,8.93,12.4,29661,"24,627",22981,-16.97178113,-6.683721119
2233 宇隆,8.96,8.84,4238,"5,094",6240,20.1982067,22.49705536
2301 光寶科,52.73,51.97,117308,"112,136",149985,-4.408906468,33.7527645
2302 麗正,3.52,4.32,1302,"3,052",2811,134.4086022,-7.896461337
2303 聯電,51.52,49.51,167072,"385,094",811411,130.4958341,110.7046591
2305 全友,4.83,4.85,1419,"1,606",2098,13.17829457,30.63511831
2308 台達電,65.23,68.82,358461,"506,521",714324,41.30435389,41.02554484
2312 金寶,15.82,16.71,16118,"16,500",23764,2.370021094,44.02424242
2313 華通,22.3,18.92,56075,"54,645",52142,-2.550156041,-4.580473968
2314 台揚,1.38,1.58,5051,"5,381",18174,6.533359731,237.7439138
2316 楠梓電,18.32,13.04,7289,"5,363",6761,-26.42337769,26.06749953
2317 鴻海,44.35,42.84,1218557,"1,131,220",1441751,-7.167247819,27.45098213
2321 東訊,0.06,0.09,253,406,294,60.4743083,-27.5862069
2323 中環,9.4,7.6,11936,"9,480",13269,-20.57640751,39.96835443
2324 仁寶,48.42,51.28,82193,"85,278",106653,3.753360992,25.06508126
2327 國巨,46.07,50.22,121526,"195,064",237793,60.51215378,21.90511832
2328 廣宇,17.36,16.88,11559,"9,278",20423,-19.73354096,120.1228713
2329 華泰,28.47,29.92,8036,"6,268",17189,-22.00099552,174.2342055
2330 台積電,75.8,77.79,7805045,"11,850,184",15947184,51.82723482,34.57330283
2331 精英,15.52,15.37,6940,"9,810",12542,41.35446686,27.84913354
2332 友訊,14.26,15.3,7694,"13,627",11397,77.11203535,-16.36457034
2337 旺宏,20.06,12.81,52898,"57,638",78324,8.960641234,35.88951733
2338 光罩,1.93,2.45,7594,"7,480",27538,-1.501185146,268.1550802
2340 台亞,19.81,15.85,9163,"9,768",31186,6.602641056,219.2669943
2342 茂矽,4,4.59,2955,"4,568",7753,54.58544839,69.72416813
2344 華邦電,21.17,21.07,64476,"69,451",135320,7.716049383,94.84240688
2345 智邦,59.5,40.21,96534,"123,076",145577,27.49497586,18.28219962
2347 聯強,34.08,39.15,60880,"71,889",110418,18.08311432,53.59512582
2348 海悅,3.82,0.73,4554,"9,156",11551,101.0540184,26.15771079
2349 錸德,12.93,14.48,9554,"7,180",8151,-24.84823111,13.52367688
2351 順德,13.3,12.72,10947,"12,003",31966,9.646478487,166.3167541
2352 佳世達,19.9,22,43466,"38,942",59889,-10.40813509,53.79025217
2353 宏碁,27.52,31.34,55195,"69,186",92807,25.34831054,34.14130026
2354 鴻準,26.48,28.54,93215,"73,978",91800,-20.6372365,24.09094596
2355 敬鵬,26.82,34.12,11984,"11,746",14588,-1.985981308,24.1954708
2356 英業達,27.52,33.55,82153,"82,512",89508,0.43698952,8.478766725
2357 華碩,59.44,65.82,156722,"184,576",279278,17.77287171,51.30786234
2358 廷鑫,0.44,0.57,1372,"1,429",2872,4.15451895,100.9797061
2359 所羅門,3.61,3.23,3412,"3,138",4098,-8.030480657,30.59273423
2360 致茂,64.77,64.03,57241,"62,116",84366,8.516622701,35.82007856
2362 藍天,13.09,16.63,28097,"19,858",21442,-29.32341531,7.976634102
2363 矽統,6.19,4.62,4438,"7,035",17922,58.51735016,154.7547974
2364 倫飛,15.33,15.1,511,705,464,37.96477495,-34.18439716
2365 昆盈,6.29,5.79,1879,"2,503",2880,33.20915381,15.06192569
2367 燿華,17.72,11.77,20998,"13,100",12450,-37.61310601,-4.961832061
2368 金像電,14.14,10.92,7432,"23,854",41533,220.9634015,74.11335625
2369 菱生,15.83,17.57,3337,"4,276",10529,28.13904705,146.2347989
2371 大同,31.34,43.01,42463,"47,493",76269,11.84560676,60.58998168
2373 震旦行,1.88,2.13,21943,"20,313",21211,-7.428337055,4.420814257
2374 佳能,8.92,8.85,4574,"3,727",8819,-18.51770879,136.6246311
2375 凱美,4.89,2.27,7404,"7,240",13720,-2.215018909,89.50276243
2376 技嘉,26.4,29.01,32611,"46,469",98850,42.4948637,112.7224601
2377 微星,33.93,35.84,74854,"99,271",135599,32.61949929,36.59477592
2379 瑞昱,58.43,64.89,112797,"177,718",296197,57.55560875,66.66685423
2380 虹光,1.61,8.62,603,"1,165",2993,93.20066335,156.9098712
2382 廣達,26.09,27.5,234461,"276,564",365791,17.95735751,32.26269507
2383 台光電,34.39,42.78,37566,"50,770",92551,35.14880477,82.2946622
2385 群光,50.95,47.93,67280,"63,372",61338,-5.808561237,-3.20961939
2387 精元,2.91,12.28,7145,"13,329",9313,86.55003499,-30.12979218
2388 威盛,10.9,9.9,15810,"18,499",42544,17.00822264,129.9799989
2390 云辰,1.49,4.01,2311,"3,232",4933,39.85287754,52.6299505
2392 正崴,14.08,16.04,23157,"21,031",20263,-9.180809259,-3.651752175
2393 億光,35.29,26.89,12477,"16,740",23370,34.16686704,39.60573477
2395 研華,40.39,39.42,214604,"230,894",307047,7.590725243,32.98180117
2397 友通,21.42,21.68,9485,"7,604",6995,-19.8313126,-8.008942662
2399 映泰,17.53,15.57,1897,"2,876",4381,51.60780179,52.32962448
2401 凌陽,12.12,12.29,7696,"8,554",22999,11.14864865,168.8683657
2402 毅嘉,13.65,12.54,5120,"5,505",5259,7.51953125,-4.46866485
2404 漢唐,28.38,30.14,30494,"38,975",34591,27.8120286,-11.24823605
2405 浩鑫,6.88,5,4104,"3,077",6972,-25.02436647,126.5843354
2406 國碩,8.88,7.95,2268,"6,604",9907,191.1816578,50.01514234
2408 南亞科,21.09,20.51,218824,"185,615",241876,-15.17612328,30.31058912
2409 友達,28.35,37.26,75550,"105,385",220395,39.49040371,109.1331783
2412 中華電,16.48,17.46,884349,"853,319",903743,-3.508795736,5.909161755
2413 環科,0.47,1.27,2070,"2,458",2866,18.74396135,16.59886086
2414 精技,6.88,12.49,3647,"4,068",6025,11.54373458,48.10717797
2415 錩新,1.3,2.09,1568,"1,216",3456,-22.44897959,184.2105263
2417 圓剛,4.14,4.89,2006,"10,995",4938,448.105683,-55.08867667
2419 仲琦,4.68,8.73,4190,"6,843",7846,63.31742243,14.65731404
2420 新巨,2.85,3.07,5373,"4,999",6907,-6.960729574,38.16763353
2421 建準,24.93,24.82,10238,"13,550",11141,32.35006837,-17.77859779
2423 固緯,1.72,2.67,3829,"3,307",4185,-13.6328023,26.54974297
2424 隴華,0.25,0.15,854,681,799,-20.25761124,17.32745962
2425 承啟,26.72,30.32,3015,"2,908",2979,-3.548922056,2.441540578
2426 鼎元,7.98,6.24,4209,"4,945",8523,17.4863388,72.35591507
2427 三商電,2,2.33,1981,"1,954",2405,-1.362948006,23.08085977
2428 興勤,15,12.82,10211,"16,655",20178,63.1084125,21.15280696
2429 銘旺科,3.16,0.83,996,767,815,-22.99196787,6.258148631
2430 燦坤,3.52,6.81,2913,"3,096",6417,6.282183316,107.2674419
2431 聯昌,0.91,3.02,1276,"1,198",1536,-6.112852665,28.21368948
2433 互盛電,0.95,1.08,7283,"7,239",7413,-0.604146643,2.403646913
2434 統懋,1.51,1.14,460,705,1447,53.26086957,105.248227
2436 偉詮電,7.36,5.82,4726,"5,598",17196,18.45112146,207.1811361
2438 翔耀,0.06,0.05,562,607,960,8.007117438,58.15485997
2439 美律,21.93,36.22,29935,"29,414",20490,-1.740437615,-30.33929421
2440 太空梭,0.1,0.14,1241,"1,642",2685,32.31265109,63.52009744
2441 超豐,15.24,16.84,25257,"29,466",44427,16.66468702,50.77377316
2442 新美齊,3.44,0.42,2900,"2,881",3327,-0.655172414,15.48073586
2443 昶虹,0.14,0.12,395,659,497,66.83544304,-24.58270106
2444 兆勁,1.03,3.16,2428,"1,541",1520,-36.53212521,-1.36275146
2449 京元電子,40.29,35.16,45058,"39,556",54779,-12.21092814,38.48467995
2450 神腦,4.42,7.1,7980,"7,489",8626,-6.152882206,15.18226733
2451 創見,14.34,16.01,29507,"27,331",31364,-7.3745213,14.75613772
2453 凌群,0.85,0.31,1680,"1,675",2900,-0.297619048,73.13432836
2454 聯發科,61.63,57.83,641438,"1,074,908",1902649,67.57784852,77.00575305
2455 全新,20.44,16.29,22651,"15,772",26626,-30.36952011,68.81815876
2456 奇力新,17.16,10.5,20971,"30,313",24968,44.54723189,-17.63269884
2457 飛宏,7.62,7.38,2860,"4,052",18873,41.67832168,365.7699901
2458 義隆,26.82,52.96,26711,"40,264",51660,50.73939575,28.30319889
2459 敦吉,17.39,18.46,4231,"4,715",6293,11.43937603,33.46765642
2460 建通,1.05,0.92,1629,"2,572",5381,57.88827502,109.214619
2461 光群雷,3.66,4.22,3330,"2,549",4186,-23.45345345,64.22126324
2462 良得電,1.08,1.29,4175,"3,527",4066,-15.52095808,15.28210944
2464 盟立,8,17.47,7606,"8,085",8554,6.297659742,5.800865801
2465 麗臺,0.51,0.64,592,981,4223,65.70945946,330.479103
2466 冠西電,12.01,12.23,5206,"4,698",6087,-9.757971571,29.56577267
2467 志聖,7.78,7.66,3753,"4,924",7929,31.2017053,61.02761982
2468 華經,0.06,0.46,889,906,1014,1.912260967,11.9205298
