前面的資料是直接從TEJ資料庫抓的，然後成長率是用Excel 算的

公司,外資合計(比率)2020,外資合計(比率)2019,市值(百萬元)2019,市值(百萬元)2020,市值(百萬元)2021,2020成長率,2021成長率
6191 精成科,7.51,9.32,8507,"11,677",18308,37.26343012,56.78684594
6192 巨路,28.51,29.44,7917,"7,222",8056,-8.778577744,11.54804763
6196 帆宣,4.32,2.73,11731,"20,306",34701,73.09692268,70.89037723
6197 佳必琪,9.91,10.63,3547,"4,139",5048,16.6901607,21.96182653
6201 亞弘電,0.17,0.16,3086,"3,135",3969,1.587815943,26.60287081
6202 盛群,27.26,35.89,14791,"15,719",25444,6.274085593,61.8678033
6205 詮欣,2.52,2.9,1789,"2,601",5764,45.38848519,121.6070742
6206 飛捷,20.17,23.35,9943,"8,655",11316,-12.95383687,30.74523397
6209 今國光,2.26,1.32,4543,"5,204",6374,14.54985692,22.48270561
6213 聯茂,14.2,18.48,41657,"44,616",54380,7.103247954,21.88452573
6214 精誠,15.82,14.18,20043,"22,063",22845,10.07833159,3.544395594
6215 和椿,5.45,6.02,1200,"1,287",2509,7.25,94.94949495
6216 居易,0.97,0.77,2354,"2,184",2443,-7.221750212,11.85897436
6224 聚鼎,16.97,15.09,5344,"7,584",10706,41.91616766,41.16561181
6225 天瀚,2.57,5.59,298,447,310,50,-30.64876957
6226 光鼎,0.91,1.07,975,932,1915,-4.41025641,105.472103
6230 尼得科超眾,71.2,55.77,17398,"20,032",14333,15.13967123,-28.44948083
6235 華孚,1.77,2.43,2156,"2,717",6675,26.02040816,145.6753773
6239 力成,73.48,60.86,73785,"70,669",76123,-4.223080572,7.7176697
6243 迅杰,0.28,0.43,749,855,2615,14.15220294,205.8479532
6251 定穎,12.2,12.86,4216,"5,506",6286,30.59772296,14.16636397
6257 矽格,26.4,28.86,14889,"17,436",26621,17.10658876,52.6783666
6269 台郡,38.92,29.81,35058,"42,647",36714,21.646985,-13.91188126
6271 同欣電,28.52,24.12,21166,"32,194",53172,52.10242842,65.16121016
6277 宏正,16.49,18.69,10275,"10,095",9761,-1.751824818,-3.308568598
6278 台表科,24.78,31.92,27222,"33,187",36111,21.91242377,8.81067888
6281 全國電,1.92,3.58,6595,"7,002",8152,6.171341926,16.42387889
6282 康舒,14.42,12.98,11159,"13,949",18908,25.00224034,35.55093555
6283 淳安,19.25,18.57,4887,"5,298",6597,8.410067526,24.5186863
6285 啟碁,16.7,24.71,28728,"32,605",30932,13.49554442,-5.13111486
6288 聯嘉,2.77,0.47,4124,"6,141",5388,48.90882638,-12.2618466
6289 華上,0.06,0.07,183,370,261,102.1857923,-29.45945946
6405 悅城,0.12,0.08,987,"1,181",1859,19.65552178,57.40897544
6409 旭隼,65.08,62.09,58894,"82,629",135063,40.30121914,63.45713975
6412 群電,10.38,12.07,24634,"26,163",30627,6.206868556,17.0622635
6414 樺漢,10.97,17.45,17843,"23,131",24079,29.63627193,4.098396092
6416 瑞祺電通,1.16,1.04,5831,"9,426",7253,61.65323272,-23.05325695
6426 統新,7.49,6.58,4490,"4,043",3004,-9.95545657,-25.69873856
6438 迅得,15.98,18.09,3907,"4,848",8437,24.08497568,74.03052805
6442 光聖,33.54,34.08,2640,"2,003",2491,-24.12878788,24.36345482
6443 元晶,2.76,2.85,2884,"15,603",18946,441.0194175,21.42536692
6449 鈺邦,1.77,1.06,2865,"4,446",5399,55.18324607,21.43499775
6464 台數科,0.47,0.48,13267,"13,592",11871,2.449687194,-12.66185992
6477 安集,0.75,1.14,2026,"6,177",5670,204.8864758,-8.207867897
6491 晶碩,3.76,2.38,10885,"17,360",29890,59.48553055,72.17741935
6504 南六,3.04,10.2,9474,"14,883",8204,57.0930969,-44.87670497
6505 台塑化,7.49,8.67,923065,"878,293",913540,-4.850362651,4.01312546
6531 愛普*,11.69,16.83,3374,"25,253",74195,648.4588026,193.8066764
6533 晶心科,2.94,3.1,4884,"7,080",27149,44.96314496,283.460452
6552 易華電,2.53,12.08,8570,"3,752",4690,-56.21936989,25
6558 興能高,3.21,3.41,6162,"4,536",3101,-26.38753651,-31.63580247
6579 研揚,2.99,3.11,10618,"10,365",10314,-2.38274628,-0.492040521
6581 鋼聯,0.38,0.2,9569,"7,856",9013,-17.90155711,14.72759674
6582 申豐,16.3,14.67,5926,"19,536",17527,229.6658792,-10.28357903
6605 帝寶,12.28,13.14,10198,"8,084",10413,-20.72955481,28.80999505
6625 必應,0.05,0.06,1809,"1,541",1498,-14.81481481,-2.790395847
6655 科定,0.27,0.28,2971,"3,969",5926,33.59138337,49.30713026
6668 中揚光,27.96,27.05,4754,"3,493",4361,-26.52503155,24.8496994
6669 緯穎,24.79,3.68,88355,"129,033",194947,46.03927339,51.08305627
6670 復盛應用,25.62,8.38,22930,"23,716",25420,3.427823812,7.185022769
6674 鋐寶科技,0.05,0.19,1973,"1,884",2096,-4.510897111,11.25265393
8011 台通,2.44,2.38,1791,"2,201",2949,22.89223897,33.98455248
8016 矽創,34.7,38.34,19763,"16,038",38444,-18.84835298,139.705699
8021 尖點,11.73,12.48,3227,"3,491",6007,8.18097304,72.07103982
8028 昇陽半導體,13.18,13,9613,"6,448",8183,-32.92416519,26.90756824
8033 雷虎,0.6,0.58,1183,"1,250",2281,5.663567202,82.48
8039 台虹,22.4,19.91,9034,"11,564",9933,28.00531326,-14.10411622
8046 南電,6.44,8.96,34053,"84,002",369607,146.680175,339.9978572
8070 長華*,11.95,12.64,11403,"14,086",26818,23.5288959,90.38761891
8072 陞泰,1.11,1.1,1696,"2,372",2172,39.85849057,-8.431703204
8081 致新,15.15,14.28,9996,"13,314",22879,33.19327731,71.84167042
8101 華冠,0.36,0.11,562,984,620,75.08896797,-36.99186992
8103 瀚荃,9.47,9.59,2080,"2,440",4058,17.30769231,66.31147541
8104 錸寶,1.67,0.72,3537,"3,267",5135,-7.633587786,57.177839
8105 凌巨,59.3,58.18,5873,"4,725",6160,-19.54707986,30.37037037
8110 華東,6.03,6.87,4780,"5,671",9834,18.64016736,73.40856992
8112 至上,32.01,19.34,10957,"11,431",21639,4.326001643,89.30102353
8114 振樺電,5.8,6.93,7642,"5,964",9253,-21.95760272,55.14755198
8131 福懋科,5.73,6.17,15301,"16,008",17291,4.620613032,8.014742629
8150 南茂,47.99,32.86,26144,"21,817",35344,-16.55064259,62.00210845
8163 達方,16.69,20.28,10808,"11,830",14196,9.455958549,20
8201 無敵,2.66,2.61,717,587,1095,-18.13110181,86.54173765
8210 勤誠,12.46,15.3,8812,"10,472",9421,18.83794825,-10.03628724
8213 志超,25.78,28.66,10036,"11,880",13169,18.37385413,10.85016835
8215 明基材,2.55,10.19,5692,"7,744",12170,36.05059733,57.15392562
8222 寶一,0.44,0.36,1248,919,1015,-26.36217949,10.44613711
8249 菱光,15.11,16.6,2649,"2,255",3749,-14.87353718,66.25277162
8261 富鼎,26.33,29.69,2253,"3,457",9273,53.43985797,168.238357
8271 宇瞻,16.39,9.22,3531,"3,612",4954,2.293967715,37.15393134
8341 日友,25.37,24.56,28600,"25,199",22244,-11.89160839,-11.72665582
8367 建新國際,1.38,1.19,1967,"2,154",4373,9.506863244,103.0176416
8374 羅昇,2.67,3.47,2548,"2,868",3485,12.5588697,21.51324965
8422 可寧衛,23.52,34.21,17313,"17,531",25425,1.25916941,45.02880611
8443 阿瘦,6.43,6.63,752,688,802,-8.510638298,16.56976744
8454 富邦媒,29.09,26.84,39637,"87,957",295874,121.9062997,236.3848244
8462 柏文,2.21,1.6,14483,"12,314",10497,-14.97617897,-14.75556277
8463 潤泰材,0.5,0.53,7245,"5,445",4568,-24.8447205,-16.10651974
8464 億豐,40.99,45.99,83804,"103,583",120871,23.60149874,16.68999739
8473 山林水,0.92,0.87,7037,"5,831",4796,-17.13798494,-17.74995713
8478 東哥遊艇,39.97,55.7,4031,"5,226",13422,29.64524932,156.8312285
8481 政伸,4.44,2.91,3883,"4,869",4955,25.39273757,1.766276443
8926 台汽電,6.39,6.54,17524,"22,885",22325,30.59233052,-2.447017697
8940 新天地,8.01,7.99,769,715,888,-7.022106632,24.1958042
8996 高力,3.64,2.39,3575,"4,845",5756,35.52447552,18.80288958
9902 台火,0.46,0.13,1005,977,1309,-2.786069652,33.98157625
9904 寶成,55.73,57.76,119934,"85,162",97686,-28.9926126,14.70608957
9905 大華,3.36,3.44,7213,"6,908",8052,-4.228476362,16.56050955
9906 欣巴巴,0.77,0.72,1309,"3,305",5267,152.4828113,59.36459909
9907 統一實,14.06,14.44,18713,"17,055",22977,-8.860150697,34.72295515
9908 大台北,2.19,2.09,16110,"16,214",17143,0.645561763,5.729616381
9910 豐泰,17.58,24.31,148784,"168,401",204109,13.18488547,21.20414962
9911 櫻花,21.35,21.35,10315,"11,344",15257,9.975763451,34.49400564
9912 偉聯,16.04,16.05,453,388,563,-14.34878587,45.10309278
9914 美利達,38.25,39.94,51724,"75,792",97917,46.53159075,29.19173528
9917 中保科,42.61,44.41,39390,"40,472",46924,2.746890074,15.94188575
9918 欣天然,2.18,1.22,6192,"6,508",7727,5.103359173,18.73079287
9919 康那香,2.85,3.91,2022,"7,561",5109,273.9366963,-32.42957281
9921 巨大,46.46,52.09,82514,"103,705",129397,25.6817025,24.77411889
9924 福興,12.28,11.77,8348,"8,377",7821,0.347388596,-6.637220962
9925 新保,17.1,17.35,14368,"14,356",15248,-0.083518931,6.213429925
9926 新海,0.15,0.19,7449,"7,925",8850,6.390119479,11.67192429
9927 泰銘,10.4,10.83,6871,"5,929",6392,-13.70979479,7.809074043
9928 中視,0,0,726,736,981,1.377410468,33.28804348
9929 秋雨,8.08,8.36,2321,"2,110",961,-9.090909091,-54.4549763
9930 中聯資源,2.06,1.94,12626,"11,085",11271,-12.20497386,1.677943166
9931 欣高,0.39,0.45,3681,"4,483",4423,21.78755773,-1.338389471
9933 中鼎,24.89,34.48,30037,"30,229",28416,0.639211639,-5.99755202
9934 成霖,20.89,21.68,6059,"5,605",5408,-7.492985641,-3.514719001
9935 慶豐富,5.29,4.98,7930,"5,750",3367,-27.49054224,-41.44347826
9937 全國,2.83,2.06,13196,"14,911",15143,12.99636253,1.55589833
9938 百和,26.27,25.03,23599,"22,705",24344,-3.788296114,7.218674301
9939 宏全,25.78,16.76,15903,"17,469",20605,9.847198642,17.95180033
9940 信義,4.91,4.82,23505,"22,069",25826,-6.109338439,17.02387965
9941 裕融,5.84,6.13,34590,"33,895",66876,-2.009251229,97.30343709
9942 茂順,3.69,6.88,5838,"5,430",8158,-6.988694758,50.23941068
9943 好樂迪,2.2,4.97,10047,"9,355",8898,-6.887628148,-4.885088188
9944 新麗,2.73,5.81,1877,"2,406",2624,28.18327118,9.060681629
9945 潤泰新,15.86,19.15,46902,"62,302",134416,32.83442071,115.7490931
9946 三發地產,9.06,1.82,7340,"5,580",4931,-23.97820163,-11.63082437
9955 佳龍,1.61,0.33,1816,"1,935",1780,6.552863436,-8.010335917
9958 世紀鋼,3.69,1.41,15315,"28,617",25596,86.85602351,-10.55666212
